iter	Passed	Remaining
0	9	2787
1	16	2428
2	22	2225
3	28	2112
4	34	2056
5	41	2012
6	47	1970
7	53	1948
8	59	1934
9	66	1914
10	72	1900
11	78	1875
12	84	1864
13	90	1851
14	96	1836
15	103	1830
16	109	1820
17	115	1808
18	119	1769
19	125	1757
20	131	1749
21	137	1742
22	144	1735
23	150	1731
24	156	1725
25	163	1722
26	169	1713
27	175	1704
28	179	1678
29	185	1672
30	192	1668
31	198	1663
32	204	1656
33	211	1651
34	217	1647
35	224	1644
36	231	1643
37	237	1637
38	243	1629
39	249	1624
40	256	1618
41	262	1612
42	268	1604
43	274	1598
44	280	1589
45	288	1591
46	294	1585
47	300	1578
48	307	1572
49	312	1564
50	319	1558
51	325	1552
52	332	1547
53	338	1542
54	344	1536
55	351	1530
56	357	1523
57	363	1518
58	370	1512
59	376	1507
60	383	1502
61	389	1496
62	395	1489
63	402	1484
64	408	1475
65	415	1472
66	422	1468
67	431	1470
68	437	1465
69	444	1458
70	450	1452
71	456	1445
72	462	1437
73	468	1430
74	474	1424
75	482	1422
76	490	1420
77	496	1413
78	502	1406
79	508	1399
80	514	1391
81	520	1384
82	526	1377
83	532	1370
84	538	1363
85	545	1357
86	551	1350
87	558	1345
88	564	1338
89	570	1330
90	576	1323
91	582	1317
92	588	1310
93	595	1305
94	601	1298
95	608	1292
96	614	1285
97	620	1279
98	627	1274
99	633	1267
100	640	1261
101	646	1255
102	653	1249
103	659	1242
104	665	1236
105	672	1230
106	678	1224
107	685	1217
108	691	1211
109	697	1204
110	703	1198
111	709	1191
112	716	1185
113	722	1178
114	728	1171
115	734	1165
116	740	1157
117	746	1151
118	752	1144
119	758	1138
120	765	1131
121	771	1125
122	777	1118
123	783	1112
124	790	1106
125	796	1099
126	802	1093
127	808	1086
128	814	1079
129	820	1073
130	826	1066
131	832	1060
132	838	1053
133	845	1047
134	851	1040
135	857	1033
136	863	1027
137	869	1020
138	875	1014
139	881	1007
140	888	1001
141	893	994
142	900	988
143	906	981
144	912	975
145	918	969
146	924	962
147	931	956
148	937	950
149	943	943
150	949	937
151	955	930
152	962	924
153	968	917
154	974	911
155	980	904
156	986	898
157	993	893
158	1000	887
159	1007	881
160	1013	875
161	1020	868
162	1026	862
163	1033	856
164	1039	850
165	1046	844
166	1052	838
167	1059	832
168	1065	825
169	1071	819
170	1077	812
171	1083	806
172	1089	799
173	1095	793
174	1102	787
175	1107	780
176	1113	774
177	1120	767
178	1126	761
179	1132	754
180	1138	748
181	1144	742
182	1150	735
183	1156	729
184	1163	722
185	1169	716
186	1175	710
187	1181	703
188	1187	697
189	1194	691
190	1200	685
191	1206	678
192	1212	672
193	1219	666
194	1225	659
195	1231	653
196	1237	647
197	1244	641
198	1250	634
199	1256	628
200	1263	622
201	1269	615
202	1275	609
203	1282	603
204	1289	597
205	1295	591
206	1301	584
207	1307	578
208	1314	572
209	1320	566
210	1329	560
211	1336	554
212	1342	548
213	1348	542
214	1355	535
215	1361	529
216	1367	522
217	1373	516
218	1379	510
219	1385	503
220	1391	497
221	1397	490
222	1403	484
223	1409	478
224	1415	471
225	1422	465
226	1428	459
227	1434	452
228	1440	446
229	1446	440
230	1452	433
231	1459	427
232	1464	421
233	1470	414
234	1476	408
235	1483	402
236	1489	395
237	1495	389
238	1501	383
239	1507	376
240	1514	370
241	1520	364
242	1526	358
243	1532	351
244	1539	345
245	1546	339
246	1555	333
247	1561	327
248	1567	321
249	1574	314
250	1579	308
251	1586	302
252	1592	295
253	1599	289
254	1606	283
255	1613	277
256	1619	270
257	1625	264
258	1631	258
259	1637	251
260	1643	245
261	1650	239
262	1656	233
263	1663	226
264	1669	220
265	1675	214
266	1681	207
267	1688	201
268	1694	195
269	1701	189
270	1708	182
271	1714	176
272	1721	170
273	1728	163
274	1734	157
275	1740	151
276	1746	145
277	1752	138
278	1759	132
279	1765	126
280	1772	119
281	1778	113
282	1784	107
283	1790	100
284	1796	94
285	1802	88
286	1808	81
287	1815	75
288	1820	69
289	1827	63
290	1833	56
291	1839	50
292	1845	44
293	1852	37
294	1858	31
295	1864	25
296	1871	18
297	1877	12
298	1883	6
299	1889	0
